Age,English,Experience,Projects,Education,Python,Docker,Redis,RabbitMQ,AI,Hired,BackendSkill,ProjectCompletionExperience,InternationalExperience
37,816,13,10,1,77,0,1,0,0,0,38.7,0.7692307692307693,10608
35,632,12,11,1,66,0,1,0,0,0,33.2,0.9166666666666666,7584
23,805,1,3,1,60,0,0,0,0,0,30.0,3.0,805
39,638,11,10,0,84,1,1,0,1,1,42.5,0.9090909090909091,7018
23,773,2,3,1,74,1,0,1,0,0,37.3,1.5,1546
45,579,11,14,0,59,0,0,0,0,0,29.5,1.2727272727272727,6369
41,661,11,12,0,54,0,0,1,0,0,27.0,1.0909090909090908,7271
28,733,3,6,1,83,0,0,0,0,0,41.5,2.0,2199
40,672,14,13,1,68,0,0,0,0,0,34.0,0.9285714285714286,9408
36,457,13,10,1,72,0,0,0,0,0,36.0,0.7692307692307693,5941
42,657,12,11,0,71,0,0,0,0,0,35.5,0.9166666666666666,7884
24,677,2,5,1,75,0,1,1,0,0,37.7,2.5,1354
37,723,4,6,0,66,0,0,0,0,0,33.0,1.5,2892
25,709,1,2,1,77,0,0,0,0,0,38.5,2.0,709
25,710,9,12,1,78,1,1,1,0,0,39.5,1.3333333333333333,6390
25,752,10,12,1,75,0,0,0,0,0,37.5,1.2,7520
25,820,7,11,1,90,0,0,0,0,0,45.0,1.5714285714285714,5740
31,574,2,4,1,65,0,0,0,0,0,32.5,2.0,1148
36,675,3,3,1,79,0,0,1,0,0,39.5,1.0,2025
32,550,12,14,1,75,0,0,0,0,0,37.5,1.1666666666666667,6600
37,589,11,15,1,67,0,1,0,0,0,33.7,1.3636363636363635,6479
24,688,4,2,1,72,1,0,1,0,0,36.3,0.5,2752
27,850,2,2,0,61,1,0,0,0,0,30.8,1.0,1700
45,738,3,4,1,81,1,0,0,1,0,40.8,1.3333333333333333,2214
24,745,1,4,1,71,1,0,0,0,0,35.8,4.0,745
42,785,3,2,1,66,0,0,0,0,0,33.0,0.6666666666666666,2355
24,614,1,5,1,77,0,1,0,0,0,38.7,5.0,614
42,521,4,6,0,75,0,0,0,0,0,37.5,1.5,2084
42,772,2,5,1,82,0,1,0,1,0,41.2,2.5,1544
31,737,14,13,1,72,0,0,0,0,0,36.0,0.9285714285714286,10318
33,657,3,4,1,89,0,0,0,0,0,44.5,1.3333333333333333,1971
22,670,1,5,1,60,1,0,0,0,0,30.3,5.0,670
32,650,3,5,1,78,0,0,0,0,0,39.0,1.6666666666666667,1950
29,950,2,5,1,100,0,1,0,0,0,50.2,2.5,1900
34,617,4,4,1,59,0,0,0,0,0,29.5,1.0,2468
44,797,14,10,1,81,0,0,0,1,0,40.5,0.7142857142857143,11158
42,744,13,15,1,71,1,0,0,0,0,35.8,1.1538461538461537,9672
44,673,3,3,1,63,0,0,0,0,0,31.5,1.0,2019
36,661,3,2,1,82,0,0,0,1,0,41.0,0.6666666666666666,1983
39,626,12,12,1,67,0,1,0,0,0,33.7,1.0,7512
35,576,3,3,0,68,0,0,0,0,0,34.0,1.0,1728
40,747,11,14,0,91,0,0,0,0,1,45.5,1.2727272727272727,8217
43,764,3,6,1,86,0,0,1,0,0,43.0,2.0,2292
42,705,12,15,1,57,0,1,0,0,0,28.7,1.25,8460
37,826,13,11,0,59,1,0,0,0,0,29.8,0.8461538461538461,10738
41,804,13,13,1,64,1,0,0,0,0,32.3,1.0,10452
39,590,11,14,1,77,1,0,0,0,0,38.8,1.2727272727272727,6490
40,783,4,5,1,78,0,0,1,0,0,39.0,1.25,3132
26,681,3,6,1,70,0,0,0,0,0,35.0,2.0,2043
40,719,2,4,1,59,1,0,0,0,0,29.8,2.0,1438
23,558,2,3,1,72,0,0,0,0,0,36.0,1.5,1116
35,740,11,11,1,90,0,0,0,0,0,45.0,1.0,8140
42,819,3,3,1,76,0,0,1,0,0,38.0,1.0,2457
43,747,12,12,1,81,0,1,0,1,1,40.7,1.0,8964
29,713,2,6,1,88,0,0,0,1,0,44.0,3.0,1426
30,749,12,12,1,72,0,1,0,0,0,36.2,1.0,8988
27,704,1,6,1,68,0,0,0,0,0,34.0,6.0,704
30,670,4,3,1,71,0,1,0,0,0,35.7,0.75,2680
33,772,14,15,0,79,0,0,0,0,0,39.5,1.0714285714285714,10808
41,635,13,13,1,67,0,1,0,0,0,33.7,1.0,8255
35,487,4,6,1,62,0,0,1,0,0,31.0,1.5,1948
45,715,14,11,0,61,0,0,1,0,0,30.5,0.7857142857142857,10010
44,847,11,10,1,69,0,0,0,0,0,34.5,0.9090909090909091,9317
24,709,1,2,1,59,0,0,0,0,0,29.5,2.0,709
37,803,12,11,0,92,0,0,0,0,0,46.0,0.9166666666666666,9636
43,723,12,13,1,79,1,0,0,0,0,39.8,1.0833333333333333,8676
22,675,2,2,1,68,0,0,0,0,0,34.0,1.0,1350
23,639,5,3,1,94,0,0,0,1,0,47.0,0.6,3195
26,701,10,13,1,74,0,0,0,0,0,37.0,1.3,7010
31,565,4,4,1,64,0,0,0,0,0,32.0,1.0,2260
34,633,3,5,0,78,0,0,0,0,0,39.0,1.6666666666666667,1899
28,554,2,6,1,76,0,1,0,0,0,38.2,3.0,1108
37,615,2,5,1,69,0,1,0,0,0,34.7,2.5,1230
27,887,1,4,1,81,1,1,0,1,0,41.0,4.0,887
27,725,10,13,1,81,1,0,0,1,1,40.8,1.3,7250
44,704,3,3,1,69,0,0,0,0,0,34.5,1.0,2112
31,838,11,13,1,83,0,0,1,1,1,41.5,1.1818181818181819,9218
40,713,12,10,0,73,0,0,1,0,0,36.5,0.8333333333333334,8556
42,742,4,4,1,71,0,0,0,0,0,35.5,1.0,2968
27,736,2,2,1,68,0,1,0,0,0,34.2,1.0,1472
45,848,12,11,1,65,0,0,0,0,0,32.5,0.9166666666666666,10176
38,745,11,13,1,58,0,0,0,0,0,29.0,1.1818181818181819,8195
41,617,14,10,1,80,0,0,0,0,0,40.0,0.7142857142857143,8638
27,730,3,6,1,57,1,0,1,0,0,28.8,2.0,2190
26,560,3,6,1,73,0,0,0,0,0,36.5,2.0,1680
24,692,2,4,1,70,0,0,0,0,0,35.0,2.0,1384
27,370,8,12,1,69,0,0,1,0,0,34.5,1.5,2960
37,571,4,5,1,74,1,0,0,0,0,37.3,1.25,2284
35,804,14,11,1,73,0,1,0,0,0,36.7,0.7857142857142857,11256
33,792,4,3,1,86,0,1,0,1,0,43.2,0.75,3168
38,766,3,6,1,73,0,0,0,0,0,36.5,2.0,2298
28,744,9,11,1,79,0,0,0,0,0,39.5,1.2222222222222223,6696
23,827,2,4,1,86,1,0,1,0,0,43.3,2.0,1654
35,590,13,13,1,80,0,0,0,0,0,40.0,1.0,7670
45,753,4,3,1,57,0,0,0,0,0,28.5,0.75,3012
33,682,14,10,1,74,0,0,0,0,0,37.0,0.7142857142857143,9548
41,692,2,3,0,59,0,0,0,0,0,29.5,1.5,1384
27,823,8,9,1,75,0,0,0,0,0,37.5,1.125,6584
43,690,2,6,1,82,1,0,0,0,0,41.3,3.0,1380
40,662,13,15,0,66,0,0,0,0,0,33.0,1.1538461538461537,8606
23,811,1,2,1,81,0,0,1,1,0,40.5,2.0,811
38,558,3,4,0,74,0,0,0,0,0,37.0,1.3333333333333333,1674
40,546,3,4,0,69,1,1,0,0,0,35.0,1.3333333333333333,1638
34,828,12,15,1,67,0,0,0,0,0,33.5,1.25,9936
45,688,4,6,1,69,0,0,0,0,0,34.5,1.5,2752
35,703,13,15,0,72,0,1,1,0,1,36.2,1.1538461538461537,9139
40,738,3,6,1,65,0,0,0,0,0,32.5,2.0,2214
31,839,13,12,0,91,0,0,1,0,1,45.5,0.9230769230769231,10907
29,759,2,5,0,85,0,0,1,1,0,42.5,2.5,1518
34,865,14,13,1,92,0,1,0,0,1,46.2,0.9285714285714286,12110
42,689,12,12,1,82,0,0,0,1,1,41.0,1.0,8268
45,722,4,3,1,60,0,0,0,0,0,30.0,0.75,2888
32,676,3,2,1,66,1,0,1,0,0,33.3,0.6666666666666666,2028
27,608,2,4,0,68,0,0,0,0,0,34.0,2.0,1216
44,510,2,6,1,71,0,0,0,0,0,35.5,3.0,1020
40,668,12,14,1,87,0,0,1,1,1,43.5,1.1666666666666667,8016
31,686,14,15,0,63,0,0,0,0,0,31.5,1.0714285714285714,9604
25,732,1,6,1,64,0,0,0,0,0,32.0,6.0,732
32,688,2,3,1,84,0,1,0,0,0,42.2,1.5,1376
34,714,2,3,1,74,0,0,1,0,0,37.0,1.5,1428
24,758,1,5,1,68,0,0,0,0,0,34.0,5.0,758
32,873,3,4,1,86,1,0,0,0,0,43.3,1.3333333333333333,2619
30,652,13,15,1,88,1,0,0,0,1,44.3,1.1538461538461537,8476
25,822,9,7,1,66,1,1,0,0,0,33.5,0.7777777777777778,7398
42,712,2,6,1,86,1,0,0,0,0,43.3,3.0,1424
40,731,4,5,1,74,0,0,1,0,0,37.0,1.25,2924
43,466,4,5,1,92,0,0,0,1,0,46.0,1.25,1864
28,764,3,2,1,78,0,0,0,0,0,39.0,0.6666666666666666,2292
22,598,3,5,0,72,0,0,0,0,0,36.0,1.6666666666666667,1794
44,625,12,15,1,55,0,0,0,0,0,27.5,1.25,7500
44,575,14,15,1,87,0,1,0,1,1,43.7,1.0714285714285714,8050
32,802,11,10,1,83,1,0,1,1,1,41.8,0.9090909090909091,8822
42,648,11,14,1,74,0,0,0,0,0,37.0,1.2727272727272727,7128
23,733,4,4,1,74,0,0,1,0,0,37.0,1.0,2932
43,738,11,10,0,91,0,0,0,1,1,45.5,0.9090909090909091,8118
28,592,6,11,0,67,0,0,0,0,0,33.5,1.8333333333333333,3552
25,826,2,2,1,84,0,0,0,1,0,42.0,1.0,1652
42,631,4,4,0,69,1,0,0,0,0,34.8,1.0,2524
37,520,13,14,1,83,0,0,0,1,0,41.5,1.0769230769230769,6760
36,539,4,5,1,74,1,0,0,0,0,37.3,1.25,2156
34,647,3,3,1,70,0,1,0,0,0,35.2,1.0,1941
25,577,8,9,1,68,0,1,0,0,0,34.2,1.125,4616
34,671,13,12,1,76,0,0,0,0,0,38.0,0.9230769230769231,8723
27,862,3,2,0,78,0,0,0,0,0,39.0,0.6666666666666666,2586
24,723,4,2,0,86,1,1,1,1,0,43.5,0.5,2892
45,905,14,10,1,63,1,0,0,0,0,31.8,0.7142857142857143,12670
30,575,3,6,1,61,0,0,0,0,0,30.5,2.0,1725
38,898,11,10,1,70,0,0,0,0,0,35.0,0.9090909090909091,9878
26,758,2,2,1,70,0,0,1,0,0,35.0,1.0,1516
44,554,12,13,1,77,0,0,0,0,0,38.5,1.0833333333333333,6648
23,546,1,2,1,67,0,0,1,0,0,33.5,2.0,546
40,668,14,11,1,76,0,0,0,0,0,38.0,0.7857142857142857,9352
40,813,14,12,0,83,0,0,1,0,1,41.5,0.8571428571428571,11382
27,706,9,7,0,70,0,0,0,0,0,35.0,0.7777777777777778,6354
31,693,14,14,0,88,0,1,0,0,1,44.2,1.0,9702
31,584,14,11,1,79,1,0,0,0,0,39.8,0.7857142857142857,8176
31,700,13,12,1,71,0,0,0,0,0,35.5,0.9230769230769231,9100
26,764,2,2,1,71,0,0,1,0,0,35.5,1.0,1528
24,718,2,3,1,60,1,0,0,0,0,30.3,1.5,1436
34,780,12,12,1,53,0,0,1,0,0,26.5,1.0,9360
44,746,4,4,0,68,0,0,1,0,0,34.0,1.0,2984
29,566,7,8,1,76,1,0,1,0,0,38.3,1.1428571428571428,3962
35,799,2,5,0,70,1,0,0,0,0,35.3,2.5,1598
23,950,3,3,0,68,0,1,0,0,0,34.2,1.0,2850
44,818,2,2,1,69,0,0,1,0,0,34.5,1.0,1636
28,612,1,6,0,85,0,0,0,1,0,42.5,6.0,612
39,666,14,13,1,87,0,0,0,1,1,43.5,0.9285714285714286,9324
42,656,3,2,1,87,0,0,1,0,0,43.5,0.6666666666666666,1968
42,567,3,3,1,75,0,0,0,0,0,37.5,1.0,1701
43,519,4,6,1,87,0,0,0,1,0,43.5,1.5,2076
31,499,3,2,1,84,0,0,0,1,0,42.0,0.6666666666666666,1497
26,765,3,6,1,59,0,0,0,0,0,29.5,2.0,2295
28,721,10,15,1,75,0,1,0,0,0,37.7,1.5,7210
43,765,11,10,1,77,0,0,0,0,0,38.5,0.9090909090909091,8415
27,835,1,5,1,79,0,0,0,0,0,39.5,5.0,835
36,567,14,10,1,67,0,0,1,0,0,33.5,0.7142857142857143,7938
43,770,3,5,1,57,0,0,0,0,0,28.5,1.6666666666666667,2310
32,724,12,12,1,84,1,1,0,1,1,42.5,1.0,8688
38,551,12,12,1,70,0,0,1,0,0,35.0,1.0,6612
23,553,2,5,1,86,0,0,0,0,0,43.0,2.5,1106
35,677,4,6,1,69,1,1,0,0,0,35.0,1.5,2708
45,759,11,14,0,65,0,1,0,0,0,32.7,1.2727272727272727,8349
34,524,14,14,1,87,0,0,0,1,1,43.5,1.0,7336
27,657,2,4,1,86,0,0,0,1,0,43.0,2.0,1314
23,679,5,4,1,81,0,0,0,1,0,40.5,0.8,3395
40,721,3,5,1,62,0,1,1,0,0,31.2,1.6666666666666667,2163
37,787,14,13,1,85,0,0,0,1,1,42.5,0.9285714285714286,11018
29,749,6,12,1,70,0,0,0,0,0,35.0,2.0,4494
31,821,13,12,1,76,0,0,0,0,0,38.0,0.9230769230769231,10673
35,554,13,12,1,76,1,0,0,0,0,38.3,0.9230769230769231,7202
27,722,1,4,1,77,0,0,0,0,0,38.5,4.0,722
44,685,11,12,1,62,0,0,0,0,0,31.0,1.0909090909090908,7535
25,793,3,5,0,59,0,0,0,0,0,29.5,1.6666666666666667,2379
22,805,4,3,1,80,0,0,0,0,0,40.0,0.75,3220
37,619,3,6,0,70,0,0,1,0,0,35.0,2.0,1857
24,810,1,2,1,64,0,0,0,0,0,32.0,2.0,810
28,590,3,4,1,79,0,0,0,0,0,39.5,1.3333333333333333,1770
41,694,13,10,1,51,0,0,0,0,0,25.5,0.7692307692307693,9022
41,750,4,2,1,84,0,0,0,0,0,42.0,0.5,3000
41,579,2,3,1,81,0,0,0,0,0,40.5,1.5,1158
35,762,11,14,1,64,0,0,0,0,0,32.0,1.2727272727272727,8382
25,605,6,8,1,83,0,1,0,0,0,41.7,1.3333333333333333,3630
39,569,12,12,1,83,0,0,1,0,0,41.5,1.0,6828
23,627,1,3,0,65,1,0,0,0,0,32.8,3.0,627
30,693,4,5,1,62,0,0,1,0,0,31.0,1.25,2772
26,743,1,5,0,78,0,0,0,0,0,39.0,5.0,743
24,778,2,5,1,87,0,0,1,0,0,43.5,2.5,1556
43,702,2,6,1,70,1,0,0,0,0,35.3,3.0,1404
41,837,11,10,0,75,0,0,0,0,0,37.5,0.9090909090909091,9207
24,537,3,2,0,85,0,0,0,1,0,42.5,0.6666666666666666,1611
28,792,2,3,1,76,0,0,0,0,0,38.0,1.5,1584
27,624,3,6,1,73,0,0,0,0,0,36.5,2.0,1872
26,777,1,6,0,83,0,0,0,0,0,41.5,6.0,777
27,685,9,11,1,93,0,1,0,1,0,46.7,1.2222222222222223,6165
26,696,10,13,1,93,0,0,1,1,1,46.5,1.3,6960
45,803,13,10,0,71,0,1,0,0,0,35.7,0.7692307692307693,10439
31,793,13,12,1,89,0,0,0,0,1,44.5,0.9230769230769231,10309
34,722,2,4,1,75,0,0,0,0,0,37.5,2.0,1444
37,942,3,4,1,74,0,1,0,0,0,37.2,1.3333333333333333,2826
40,769,4,5,1,58,0,1,0,0,0,29.2,1.25,3076
34,459,11,10,1,75,0,0,1,0,0,37.5,0.9090909090909091,5049
30,738,3,4,1,82,1,0,0,0,0,41.3,1.3333333333333333,2214
34,827,3,2,1,70,0,1,0,0,0,35.2,0.6666666666666666,2481
43,640,2,4,1,65,0,0,1,0,0,32.5,2.0,1280
42,788,4,4,0,61,0,0,0,0,0,30.5,1.0,3152
44,838,12,15,1,64,1,0,0,0,0,32.3,1.25,10056
38,634,2,3,1,79,0,1,0,0,0,39.7,1.5,1268
24,685,1,6,1,60,0,0,0,0,0,30.0,6.0,685
44,733,13,10,1,72,0,0,0,0,0,36.0,0.7692307692307693,9529
41,653,11,11,1,80,0,0,0,0,0,40.0,1.0,7183
32,663,3,5,1,85,0,1,1,0,0,42.7,1.6666666666666667,1989
23,772,2,3,1,81,0,1,0,1,0,40.7,1.5,1544
28,829,8,9,0,70,1,0,1,0,0,35.3,1.125,6632
26,836,7,10,1,90,0,0,0,0,0,45.0,1.4285714285714286,5852
44,639,13,15,0,89,0,0,0,1,1,44.5,1.1538461538461537,8307
45,721,11,14,1,70,0,1,0,0,0,35.2,1.2727272727272727,7931
28,712,2,5,1,46,0,0,0,0,0,23.0,2.5,1424
44,842,4,5,1,63,0,0,0,0,0,31.5,1.25,3368
24,705,1,2,0,73,1,0,0,0,0,36.8,2.0,705
23,555,5,2,1,77,0,1,0,0,0,38.7,0.4,2775
36,642,13,14,1,83,0,0,0,0,0,41.5,1.0769230769230769,8346
34,908,13,13,0,69,0,1,0,0,0,34.7,1.0,11804
33,527,3,6,0,63,0,0,0,0,0,31.5,2.0,1581
41,679,12,10,1,88,0,0,0,0,0,44.0,0.8333333333333334,8148
24,792,1,6,1,74,0,1,0,0,0,37.2,6.0,792
23,738,3,2,1,78,0,0,0,0,0,39.0,0.6666666666666666,2214
22,697,3,2,1,73,1,0,0,0,0,36.8,0.6666666666666666,2091
41,583,14,11,1,72,0,0,0,0,0,36.0,0.7857142857142857,8162
41,617,2,3,1,79,0,0,0,0,0,39.5,1.5,1234
42,741,2,4,1,59,0,0,0,0,0,29.5,2.0,1482
38,755,14,14,1,72,0,0,0,0,0,36.0,1.0,10570
44,950,4,4,1,94,0,0,0,0,0,47.0,1.0,3800
34,711,3,3,0,94,0,0,0,0,0,47.0,1.0,2133
30,794,3,3,0,57,0,0,0,0,0,28.5,1.0,2382
33,664,11,14,1,83,1,0,0,0,0,41.8,1.2727272727272727,7304
34,685,3,5,0,88,0,0,0,0,0,44.0,1.6666666666666667,2055
40,720,13,11,0,75,0,0,0,0,0,37.5,0.8461538461538461,9360
25,755,3,2,1,85,0,0,0,1,0,42.5,0.6666666666666666,2265
27,723,7,9,1,72,0,0,1,0,0,36.0,1.2857142857142858,5061
22,675,3,6,1,65,0,1,0,0,0,32.7,2.0,2025
28,659,7,8,1,68,0,0,1,0,0,34.0,1.1428571428571428,4613
31,793,3,4,1,83,0,0,0,1,0,41.5,1.3333333333333333,2379
44,694,14,15,1,68,0,0,1,0,0,34.0,1.0714285714285714,9716
41,831,14,15,0,65,0,0,1,0,0,32.5,1.0714285714285714,11634
37,722,2,2,1,71,0,0,0,0,0,35.5,1.0,1444
29,889,3,3,1,63,0,0,0,0,0,31.5,1.0,2667
31,620,4,6,0,91,0,0,0,1,0,45.5,1.5,2480
35,569,11,11,1,72,0,0,0,0,0,36.0,1.0,6259
41,620,2,2,1,68,0,0,0,0,0,34.0,1.0,1240
34,744,3,4,1,86,1,0,0,1,0,43.3,1.3333333333333333,2232
34,662,12,15,0,71,0,0,0,0,0,35.5,1.25,7944
22,742,3,6,1,60,1,0,1,0,0,30.3,2.0,2226
39,683,14,11,1,80,0,0,0,0,0,40.0,0.7857142857142857,9562
23,506,1,5,1,97,0,0,0,1,0,48.5,5.0,506
43,619,4,5,1,83,0,1,1,0,0,41.7,1.25,2476
41,829,14,15,1,80,0,0,1,0,1,40.0,1.0714285714285714,11606
27,731,7,8,0,70,0,0,0,0,0,35.0,1.1428571428571428,5117
26,800,9,8,1,95,0,0,0,0,0,47.5,0.8888888888888888,7200
29,551,10,10,1,76,0,1,0,0,0,38.2,1.0,5510
44,645,13,11,1,84,0,0,1,1,0,42.0,0.8461538461538461,8385
25,830,10,14,1,68,1,1,0,0,1,34.5,1.4,8300
22,740,3,5,1,68,1,0,0,0,0,34.3,1.6666666666666667,2220
40,697,13,14,0,53,0,0,0,0,0,26.5,1.0769230769230769,9061
41,577,3,5,1,81,0,0,0,0,0,40.5,1.6666666666666667,1731
41,742,13,15,1,83,1,0,0,1,1,41.8,1.1538461538461537,9646
41,710,4,2,1,93,1,0,0,0,0,46.8,0.5,2840
36,628,14,12,1,91,0,0,1,1,1,45.5,0.8571428571428571,8792
26,599,2,4,1,72,1,0,0,0,0,36.3,2.0,1198
37,677,11,14,1,69,0,0,0,0,0,34.5,1.2727272727272727,7447
39,748,13,13,1,80,0,0,0,0,0,40.0,1.0,9724
37,636,3,4,0,78,1,0,0,0,0,39.3,1.3333333333333333,1908
23,525,4,5,1,68,0,0,0,0,0,34.0,1.25,2100
44,803,2,5,1,69,0,0,0,0,0,34.5,2.5,1606
27,553,2,4,0,73,0,1,1,0,0,36.7,2.0,1106
36,661,3,3,1,85,1,0,0,1,0,42.8,1.0,1983
26,723,2,2,1,50,0,0,0,0,0,25.0,1.0,1446
33,631,3,4,1,76,1,1,0,0,0,38.5,1.3333333333333333,1893
39,823,2,6,1,61,0,0,0,0,0,30.5,3.0,1646
28,520,2,3,1,79,0,0,0,0,0,39.5,1.5,1040
39,620,11,12,1,70,1,0,1,0,1,35.3,1.0909090909090908,6820
28,580,7,8,1,80,1,0,1,0,0,40.3,1.1428571428571428,4060
22,648,3,5,1,63,1,0,1,0,0,31.8,1.6666666666666667,1944
25,770,2,3,1,100,0,0,0,1,0,50.0,1.5,1540
22,809,1,4,1,76,0,0,0,0,0,38.0,4.0,809
22,809,3,6,1,79,1,0,0,0,0,39.8,2.0,2427
25,606,7,11,0,81,0,1,0,0,0,40.7,1.5714285714285714,4242
42,671,3,6,1,84,0,0,0,0,0,42.0,2.0,2013
41,719,3,2,1,85,1,1,0,1,0,43.0,0.6666666666666666,2157
45,807,4,3,1,82,1,1,0,1,0,41.5,0.75,3228
30,765,4,3,1,64,0,1,0,0,0,32.2,0.75,3060
35,721,12,12,1,61,0,0,0,0,0,30.5,1.0,8652
29,540,2,5,0,83,0,0,0,0,0,41.5,2.5,1080
38,723,4,6,1,89,0,1,0,1,0,44.7,1.5,2892
26,828,8,9,1,79,1,0,1,0,0,39.8,1.125,6624
33,769,12,15,1,69,0,0,0,0,0,34.5,1.25,9228
22,787,1,4,1,62,0,0,0,0,0,31.0,4.0,787
23,870,4,2,1,87,0,0,0,1,0,43.5,0.5,3480
34,543,14,12,1,81,0,1,0,1,1,40.7,0.8571428571428571,7602
38,910,3,5,1,71,0,1,0,0,0,35.7,1.6666666666666667,2730
22,720,2,5,0,61,1,0,0,0,0,30.8,2.5,1440
42,809,2,3,1,79,0,0,0,0,0,39.5,1.5,1618
37,877,12,15,1,87,1,1,0,1,1,44.0,1.25,10524
24,563,3,4,1,76,1,0,0,0,0,38.3,1.3333333333333333,1689
44,625,2,6,1,79,0,0,0,0,0,39.5,3.0,1250
23,449,1,3,1,76,0,0,0,0,0,38.0,3.0,449
40,786,14,13,1,64,0,0,0,0,0,32.0,0.9285714285714286,11004
30,680,3,5,1,79,0,0,0,0,0,39.5,1.6666666666666667,2040
29,661,1,2,1,80,0,0,0,0,0,40.0,2.0,661
39,735,2,5,1,74,1,0,1,0,0,37.3,2.5,1470
31,729,13,11,1,69,0,0,0,0,0,34.5,0.8461538461538461,9477
43,843,4,4,1,85,0,0,0,0,0,42.5,1.0,3372
42,726,11,12,0,77,0,1,0,0,0,38.7,1.0909090909090908,7986
31,610,4,3,0,85,0,0,0,0,0,42.5,0.75,2440
37,727,3,4,1,64,0,0,0,0,0,32.0,1.3333333333333333,2181
42,764,3,2,1,55,0,0,0,0,0,27.5,0.6666666666666666,2292
29,661,2,5,1,75,0,0,0,0,0,37.5,2.5,1322
31,547,13,13,1,59,0,0,0,0,0,29.5,1.0,7111
30,784,11,11,1,78,0,0,0,0,0,39.0,1.0,8624
22,748,3,3,1,91,0,0,1,0,0,45.5,1.0,2244
