Age,English,Experience,Projects,Education,Python,Docker,Redis,RabbitMQ,AI,Hired
44,797,14,10,1,81,0,0,0,1,0
42,744,13,15,1,71,1,0,0,0,0
44,673,3,3,1,63,0,0,0,0,0
36,661,3,2,1,82,0,0,0,1,0
39,626,12,12,1,67,0,1,0,0,0
35,576,3,3,0,68,0,0,0,0,0
40,747,11,14,0,91,0,0,0,0,1
43,764,3,6,1,86,0,0,1,0,0
42,705,12,15,1,57,0,1,0,0,0
37,826,13,11,0,59,1,0,0,0,0
41,804,13,13,1,64,1,0,0,0,0
39,590,11,14,1,77,1,0,0,0,0
40,783,4,5,1,78,0,0,1,0,0
26,681,3,6,1,70,0,0,0,0,0
40,719,2,4,1,59,1,0,0,0,0
23,558,2,3,1,72,0,0,0,0,0
35,740,11,11,1,90,0,0,0,0,0
42,819,3,3,1,76,0,0,1,0,0
43,747,12,12,1,81,0,1,0,1,1
29,713,2,6,1,88,0,0,0,1,0
30,749,12,12,1,72,0,1,0,0,0
27,704,1,6,1,68,0,0,0,0,0
30,670,4,3,1,71,0,1,0,0,0
33,772,14,15,0,79,0,0,0,0,0
41,635,13,13,1,67,0,1,0,0,0
35,487,4,6,1,62,0,0,1,0,0
45,715,14,11,0,61,0,0,1,0,0
44,847,11,10,1,69,0,0,0,0,0
24,709,1,2,1,59,0,0,0,0,0
37,803,12,11,0,92,0,0,0,0,0
43,723,12,13,1,79,1,0,0,0,0
22,675,2,2,1,68,0,0,0,0,0
23,639,5,3,1,94,0,0,0,1,0
26,701,10,13,1,74,0,0,0,0,0
31,565,4,4,1,64,0,0,0,0,0
34,633,3,5,0,78,0,0,0,0,0
28,554,2,6,1,76,0,1,0,0,0
37,615,2,5,1,69,0,1,0,0,0
27,887,1,4,1,81,1,1,0,1,0
27,725,10,13,1,81,1,0,0,1,1
44,704,3,3,1,69,0,0,0,0,0
31,838,11,13,1,83,0,0,1,1,1
40,713,12,10,0,73,0,0,1,0,0
42,742,4,4,1,71,0,0,0,0,0
27,736,2,2,1,68,0,1,0,0,0
45,848,12,11,1,65,0,0,0,0,0
38,745,11,13,1,58,0,0,0,0,0
41,617,14,10,1,80,0,0,0,0,0
27,730,3,6,1,57,1,0,1,0,0
26,560,3,6,1,73,0,0,0,0,0
24,692,2,4,1,70,0,0,0,0,0
27,370,8,12,1,69,0,0,1,0,0
37,571,4,5,1,74,1,0,0,0,0
35,804,14,11,1,73,0,1,0,0,0
33,792,4,3,1,86,0,1,0,1,0
38,766,3,6,1,73,0,0,0,0,0
28,744,9,11,1,79,0,0,0,0,0
23,827,2,4,1,86,1,0,1,0,0
35,590,13,13,1,80,0,0,0,0,0
45,753,4,3,1,57,0,0,0,0,0
33,682,14,10,1,74,0,0,0,0,0
41,692,2,3,0,59,0,0,0,0,0
27,823,8,9,1,75,0,0,0,0,0
43,690,2,6,1,82,1,0,0,0,0
40,662,13,15,0,66,0,0,0,0,0
23,811,1,2,1,81,0,0,1,1,0
38,558,3,4,0,74,0,0,0,0,0
40,546,3,4,0,69,1,1,0,0,0
34,828,12,15,1,67,0,0,0,0,0
45,688,4,6,1,69,0,0,0,0,0
35,703,13,15,0,72,0,1,1,0,1
40,738,3,6,1,65,0,0,0,0,0
31,839,13,12,0,91,0,0,1,0,1
29,759,2,5,0,85,0,0,1,1,0
34,865,14,13,1,92,0,1,0,0,1
42,689,12,12,1,82,0,0,0,1,1
45,722,4,3,1,60,0,0,0,0,0
32,676,3,2,1,66,1,0,1,0,0
27,608,2,4,0,68,0,0,0,0,0
44,510,2,6,1,71,0,0,0,0,0
40,668,12,14,1,87,0,0,1,1,1
31,686,14,15,0,63,0,0,0,0,0
25,732,1,6,1,64,0,0,0,0,0
32,688,2,3,1,84,0,1,0,0,0
34,714,2,3,1,74,0,0,1,0,0
24,758,1,5,1,68,0,0,0,0,0
32,873,3,4,1,86,1,0,0,0,0
30,652,13,15,1,88,1,0,0,0,1
25,822,9,7,1,66,1,1,0,0,0
42,712,2,6,1,86,1,0,0,0,0
40,731,4,5,1,74,0,0,1,0,0
43,466,4,5,1,92,0,0,0,1,0
28,764,3,2,1,78,0,0,0,0,0
22,598,3,5,0,72,0,0,0,0,0
44,625,12,15,1,55,0,0,0,0,0
44,575,14,15,1,87,0,1,0,1,1
32,802,11,10,1,83,1,0,1,1,1
42,648,11,14,1,74,0,0,0,0,0
23,733,4,4,1,74,0,0,1,0,0
43,738,11,10,0,91,0,0,0,1,1
28,592,6,11,0,67,0,0,0,0,0
25,826,2,2,1,84,0,0,0,1,0
42,631,4,4,0,69,1,0,0,0,0
37,520,13,14,1,83,0,0,0,1,0
36,539,4,5,1,74,1,0,0,0,0
34,647,3,3,1,70,0,1,0,0,0
25,577,8,9,1,68,0,1,0,0,0
34,671,13,12,1,76,0,0,0,0,0
27,862,3,2,0,78,0,0,0,0,0
24,723,4,2,0,86,1,1,1,1,0
45,905,14,10,1,63,1,0,0,0,0
30,575,3,6,1,61,0,0,0,0,0
38,898,11,10,1,70,0,0,0,0,0
26,758,2,2,1,70,0,0,1,0,0
44,554,12,13,1,77,0,0,0,0,0
23,546,1,2,1,67,0,0,1,0,0
40,668,14,11,1,76,0,0,0,0,0
40,813,14,12,0,83,0,0,1,0,1
27,706,9,7,0,70,0,0,0,0,0
31,693,14,14,0,88,0,1,0,0,1
31,584,14,11,1,79,1,0,0,0,0
31,700,13,12,1,71,0,0,0,0,0
26,764,2,2,1,71,0,0,1,0,0
24,718,2,3,1,60,1,0,0,0,0
34,780,12,12,1,53,0,0,1,0,0
44,746,4,4,0,68,0,0,1,0,0
29,566,7,8,1,76,1,0,1,0,0
35,799,2,5,0,70,1,0,0,0,0
23,950,3,3,0,68,0,1,0,0,0
44,818,2,2,1,69,0,0,1,0,0
28,612,1,6,0,85,0,0,0,1,0
39,666,14,13,1,87,0,0,0,1,1
42,656,3,2,1,87,0,0,1,0,0
42,567,3,3,1,75,0,0,0,0,0
43,519,4,6,1,87,0,0,0,1,0
31,499,3,2,1,84,0,0,0,1,0
26,765,3,6,1,59,0,0,0,0,0
28,721,10,15,1,75,0,1,0,0,0
43,765,11,10,1,77,0,0,0,0,0
27,835,1,5,1,79,0,0,0,0,0
36,567,14,10,1,67,0,0,1,0,0
43,770,3,5,1,57,0,0,0,0,0
32,724,12,12,1,84,1,1,0,1,1
38,551,12,12,1,70,0,0,1,0,0
23,553,2,5,1,86,0,0,0,0,0
35,677,4,6,1,69,1,1,0,0,0
45,759,11,14,0,65,0,1,0,0,0
34,524,14,14,1,87,0,0,0,1,1
27,657,2,4,1,86,0,0,0,1,0
23,679,5,4,1,81,0,0,0,1,0
40,721,3,5,1,62,0,1,1,0,0
37,787,14,13,1,85,0,0,0,1,1
29,749,6,12,1,70,0,0,0,0,0
31,821,13,12,1,76,0,0,0,0,0
35,554,13,12,1,76,1,0,0,0,0
27,722,1,4,1,77,0,0,0,0,0
44,685,11,12,1,62,0,0,0,0,0
25,793,3,5,0,59,0,0,0,0,0
22,805,4,3,1,80,0,0,0,0,0
37,619,3,6,0,70,0,0,1,0,0
24,810,1,2,1,64,0,0,0,0,0
28,590,3,4,1,79,0,0,0,0,0
41,694,13,10,1,51,0,0,0,0,0
41,750,4,2,1,84,0,0,0,0,0
41,579,2,3,1,81,0,0,0,0,0
35,762,11,14,1,64,0,0,0,0,0
25,605,6,8,1,83,0,1,0,0,0
39,569,12,12,1,83,0,0,1,0,0
23,627,1,3,0,65,1,0,0,0,0
30,693,4,5,1,62,0,0,1,0,0
26,743,1,5,0,78,0,0,0,0,0
24,778,2,5,1,87,0,0,1,0,0
43,702,2,6,1,70,1,0,0,0,0
41,837,11,10,0,75,0,0,0,0,0
24,537,3,2,0,85,0,0,0,1,0
28,792,2,3,1,76,0,0,0,0,0
27,624,3,6,1,73,0,0,0,0,0
26,777,1,6,0,83,0,0,0,0,0
27,685,9,11,1,93,0,1,0,1,0
26,696,10,13,1,93,0,0,1,1,1
45,803,13,10,0,71,0,1,0,0,0
31,793,13,12,1,89,0,0,0,0,1
34,722,2,4,1,75,0,0,0,0,0
37,942,3,4,1,74,0,1,0,0,0
40,769,4,5,1,58,0,1,0,0,0
34,459,11,10,1,75,0,0,1,0,0
30,738,3,4,1,82,1,0,0,0,0
34,827,3,2,1,70,0,1,0,0,0
43,640,2,4,1,65,0,0,1,0,0
42,788,4,4,0,61,0,0,0,0,0
44,838,12,15,1,64,1,0,0,0,0
38,634,2,3,1,79,0,1,0,0,0
24,685,1,6,1,60,0,0,0,0,0
44,733,13,10,1,72,0,0,0,0,0
41,653,11,11,1,80,0,0,0,0,0
32,663,3,5,1,85,0,1,1,0,0
23,772,2,3,1,81,0,1,0,1,0
28,829,8,9,0,70,1,0,1,0,0
26,836,7,10,1,90,0,0,0,0,0
44,639,13,15,0,89,0,0,0,1,1
45,721,11,14,1,70,0,1,0,0,0
28,712,2,5,1,46,0,0,0,0,0
44,842,4,5,1,63,0,0,0,0,0
24,705,1,2,0,73,1,0,0,0,0
23,555,5,2,1,77,0,1,0,0,0
36,642,13,14,1,83,0,0,0,0,0
34,908,13,13,0,69,0,1,0,0,0
33,527,3,6,0,63,0,0,0,0,0
41,679,12,10,1,88,0,0,0,0,0
24,792,1,6,1,74,0,1,0,0,0
23,738,3,2,1,78,0,0,0,0,0
22,697,3,2,1,73,1,0,0,0,0
41,583,14,11,1,72,0,0,0,0,0
41,617,2,3,1,79,0,0,0,0,0
42,741,2,4,1,59,0,0,0,0,0
38,755,14,14,1,72,0,0,0,0,0
44,950,4,4,1,94,0,0,0,0,0
34,711,3,3,0,94,0,0,0,0,0
30,794,3,3,0,57,0,0,0,0,0
33,664,11,14,1,83,1,0,0,0,0
34,685,3,5,0,88,0,0,0,0,0
40,720,13,11,0,75,0,0,0,0,0
25,755,3,2,1,85,0,0,0,1,0
27,723,7,9,1,72,0,0,1,0,0
22,675,3,6,1,65,0,1,0,0,0
28,659,7,8,1,68,0,0,1,0,0
31,793,3,4,1,83,0,0,0,1,0
44,694,14,15,1,68,0,0,1,0,0
41,831,14,15,0,65,0,0,1,0,0
37,722,2,2,1,71,0,0,0,0,0
29,889,3,3,1,63,0,0,0,0,0
31,620,4,6,0,91,0,0,0,1,0
35,569,11,11,1,72,0,0,0,0,0
41,620,2,2,1,68,0,0,0,0,0
34,744,3,4,1,86,1,0,0,1,0
34,662,12,15,0,71,0,0,0,0,0
22,742,3,6,1,60,1,0,1,0,0
39,683,14,11,1,80,0,0,0,0,0
23,506,1,5,1,97,0,0,0,1,0
43,619,4,5,1,83,0,1,1,0,0
41,829,14,15,1,80,0,0,1,0,1
27,731,7,8,0,70,0,0,0,0,0
26,800,9,8,1,95,0,0,0,0,0
29,551,10,10,1,76,0,1,0,0,0
44,645,13,11,1,84,0,0,1,1,0
25,830,10,14,1,68,1,1,0,0,1
22,740,3,5,1,68,1,0,0,0,0
40,697,13,14,0,53,0,0,0,0,0
41,577,3,5,1,81,0,0,0,0,0
41,742,13,15,1,83,1,0,0,1,1
41,710,4,2,1,93,1,0,0,0,0
36,628,14,12,1,91,0,0,1,1,1
26,599,2,4,1,72,1,0,0,0,0
37,677,11,14,1,69,0,0,0,0,0
39,748,13,13,1,80,0,0,0,0,0
37,636,3,4,0,78,1,0,0,0,0
23,525,4,5,1,68,0,0,0,0,0
44,803,2,5,1,69,0,0,0,0,0
27,553,2,4,0,73,0,1,1,0,0
36,661,3,3,1,85,1,0,0,1,0
26,723,2,2,1,50,0,0,0,0,0
33,631,3,4,1,76,1,1,0,0,0
39,823,2,6,1,61,0,0,0,0,0
28,520,2,3,1,79,0,0,0,0,0
39,620,11,12,1,70,1,0,1,0,1
28,580,7,8,1,80,1,0,1,0,0
22,648,3,5,1,63,1,0,1,0,0
25,770,2,3,1,100,0,0,0,1,0
22,809,1,4,1,76,0,0,0,0,0
22,809,3,6,1,79,1,0,0,0,0
25,606,7,11,0,81,0,1,0,0,0
42,671,3,6,1,84,0,0,0,0,0
41,719,3,2,1,85,1,1,0,1,0
45,807,4,3,1,82,1,1,0,1,0
30,765,4,3,1,64,0,1,0,0,0
35,721,12,12,1,61,0,0,0,0,0
29,540,2,5,0,83,0,0,0,0,0
38,723,4,6,1,89,0,1,0,1,0
26,828,8,9,1,79,1,0,1,0,0
33,769,12,15,1,69,0,0,0,0,0
22,787,1,4,1,62,0,0,0,0,0
23,870,4,2,1,87,0,0,0,1,0
34,543,14,12,1,81,0,1,0,1,1
38,910,3,5,1,71,0,1,0,0,0
22,720,2,5,0,61,1,0,0,0,0
42,809,2,3,1,79,0,0,0,0,0
37,877,12,15,1,87,1,1,0,1,1
24,563,3,4,1,76,1,0,0,0,0
44,625,2,6,1,79,0,0,0,0,0
23,449,1,3,1,76,0,0,0,0,0
40,786,14,13,1,64,0,0,0,0,0
30,680,3,5,1,79,0,0,0,0,0
29,661,1,2,1,80,0,0,0,0,0
39,735,2,5,1,74,1,0,1,0,0
31,729,13,11,1,69,0,0,0,0,0
43,843,4,4,1,85,0,0,0,0,0
42,726,11,12,0,77,0,1,0,0,0
31,610,4,3,0,85,0,0,0,0,0
37,727,3,4,1,64,0,0,0,0,0
42,764,3,2,1,55,0,0,0,0,0
29,661,2,5,1,75,0,0,0,0,0
31,547,13,13,1,59,0,0,0,0,0
30,784,11,11,1,78,0,0,0,0,0
22,748,3,3,1,91,0,0,1,0,0
38,789,14,13,1,84,0,0,0,0,0
22,706,4,3,1,82,0,0,1,1,0
43,720,14,11,1,72,0,0,0,0,0
24,682,5,3,1,87,0,0,0,0,0
26,697,1,3,1,90,0,0,0,1,0
22,875,2,6,1,66,0,0,0,0,0
26,350,2,5,1,61,0,0,0,0,0
32,599,11,12,1,78,0,0,0,0,0
43,653,13,10,0,74,0,0,0,0,0
44,794,14,11,0,68,1,0,0,0,0
24,817,2,4,0,69,0,1,0,0,0
28,758,6,10,0,65,0,0,0,0,0
36,740,3,5,1,65,0,0,0,0,0
33,789,13,14,1,75,0,0,1,0,0
44,930,13,11,1,83,0,0,1,1,1
43,593,13,12,1,73,0,0,0,0,0
42,613,11,15,1,89,0,0,1,1,1
23,704,3,3,1,76,1,0,1,0,0
41,706,3,6,0,58,1,0,1,0,0
40,675,4,4,1,69,0,0,0,0,0
45,703,12,14,1,75,0,0,0,0,0
22,745,3,3,0,81,1,0,0,1,0
44,653,14,15,1,77,1,0,0,0,0
37,744,4,3,0,75,0,0,0,0,0
43,546,11,14,1,75,0,0,0,0,0
43,536,2,4,1,61,0,0,1,0,0
25,700,9,11,1,64,0,0,0,0,0
41,711,3,4,1,67,0,0,0,0,0
34,707,13,10,1,70,0,0,0,0,0
40,514,3,5,0,78,1,0,0,0,0
40,692,4,3,1,97,0,0,0,1,0
35,540,2,4,0,77,0,0,0,0,0
32,629,4,4,1,73,0,0,0,0,0
24,841,4,3,1,70,0,0,0,0,0
26,657,10,11,1,83,0,0,0,0,0
27,795,9,12,0,75,0,0,1,0,0
36,728,3,5,0,81,0,0,0,1,0
34,680,12,14,1,83,0,1,0,0,0
41,813,2,4,1,81,1,0,0,1,0
35,722,14,13,1,90,0,0,0,1,1
37,421,12,15,1,74,1,0,1,0,0
40,894,14,15,1,67,1,0,1,0,1
22,695,2,3,1,80,1,0,0,0,0
44,820,3,5,1,83,0,1,0,1,0
34,599,3,3,1,87,0,0,0,0,0
22,800,3,2,1,83,1,0,0,0,0
37,777,4,2,1,59,0,0,0,0,0
37,622,3,5,0,69,0,0,0,0,0
40,662,3,6,1,75,0,0,0,0,0
44,730,14,15,1,89,0,0,0,1,1
35,616,14,10,1,76,0,0,0,0,0
26,638,6,9,1,73,1,0,1,0,0
34,846,3,5,1,62,0,0,1,0,0
23,636,1,6,1,91,0,1,0,0,0
26,697,7,12,1,68,1,1,0,0,0
44,691,14,10,1,72,0,1,0,0,0
39,726,14,11,1,80,0,0,1,0,0
22,816,3,2,1,70,0,0,1,0,0
29,759,7,8,1,59,0,0,0,0,0
45,837,3,3,0,42,0,0,0,0,0
37,696,14,13,1,88,1,0,0,0,1
45,725,3,4,1,78,0,0,0,0,0
37,694,11,10,1,45,0,1,0,0,0
26,783,6,8,1,83,1,0,1,1,0
36,676,4,6,1,82,1,0,0,0,0
27,950,2,3,1,66,0,0,0,0,0
23,781,3,6,1,78,0,1,1,0,0
36,592,4,5,1,90,0,0,0,0,0
36,712,4,5,1,78,0,0,0,0,0
42,921,4,6,1,57,0,0,0,0,0
39,742,2,5,1,96,0,0,0,1,0
42,725,11,14,1,74,0,0,0,0,0
36,654,3,3,1,73,1,0,1,0,0
32,696,3,3,1,84,0,1,0,0,0
25,741,1,3,0,72,0,0,1,0,0
26,733,3,4,1,73,0,0,0,0,0
34,601,14,12,0,87,0,0,0,1,1
38,638,12,12,1,66,0,0,0,0,0
42,802,3,4,0,71,0,0,1,0,0
33,568,3,4,1,78,1,0,0,0,0
44,696,2,4,1,76,1,0,0,0,0
24,711,1,3,0,83,0,0,0,1,0
33,753,4,4,1,59,0,0,0,0,0
38,677,14,10,1,62,0,0,0,0,0
31,790,12,10,1,68,1,0,1,0,0
27,580,3,2,1,72,0,1,1,0,0
31,739,2,6,1,61,0,0,0,0,0
27,609,8,10,1,67,0,1,0,0,0
27,547,1,3,1,93,0,0,0,1,0
27,754,1,2,1,62,0,1,0,0,0
39,690,4,4,1,60,0,0,0,0,0
35,918,2,2,1,80,0,0,0,0,0
27,625,9,11,1,93,0,0,0,1,0
41,950,2,4,0,67,0,0,0,0,0
36,680,14,11,1,75,0,0,0,0,0
43,853,3,4,1,56,0,1,0,0,0
29,620,3,3,0,74,1,0,0,0,0
44,594,4,6,1,75,0,0,0,0,0
23,657,1,6,1,70,0,0,1,0,0
30,596,2,4,1,77,0,0,0,0,0
43,704,3,2,1,90,1,0,0,1,0
40,897,11,10,1,71,0,0,0,0,0
23,684,3,6,1,71,1,0,0,0,0
40,774,14,15,1,64,0,0,0,0,0
35,792,11,11,0,84,1,1,0,1,1
36,620,2,3,0,58,0,0,0,0,0
31,549,4,4,1,68,0,0,0,0,0
38,591,12,10,1,73,0,0,0,0,0
38,863,2,2,1,79,0,1,0,0,0
41,765,13,11,1,76,0,1,0,0,0
45,619,12,11,1,88,0,0,0,1,1
23,766,2,6,1,72,0,1,1,0,0
44,614,3,3,1,62,0,1,0,0,0
22,636,3,2,1,73,0,0,0,0,0
38,572,11,15,1,66,0,0,0,0,0
27,809,3,6,1,78,0,1,0,0,0
44,744,11,13,1,77,0,0,0,0,0
39,669,14,12,1,66,0,0,0,0,0
27,730,1,4,0,63,0,0,0,0,0
41,573,13,11,0,78,1,0,0,0,0
24,718,3,2,1,92,0,0,1,1,0
44,719,3,5,1,84,0,1,0,0,0
43,544,2,4,0,68,1,0,0,0,0
27,590,6,10,1,55,1,1,1,0,0
26,773,1,4,1,79,1,0,0,0,0
33,627,14,13,1,80,0,0,0,0,0
44,818,4,3,0,74,0,0,0,0,0
28,572,3,2,0,87,0,0,1,1,0
32,555,13,12,1,91,0,0,0,1,1
28,632,7,11,1,69,1,0,0,0,0
30,742,4,5,1,48,0,1,1,0,0
25,602,6,10,1,71,0,0,1,0,0
33,662,4,3,1,87,0,0,0,1,0
36,695,3,2,1,72,1,0,0,0,0
35,565,14,13,1,70,0,0,0,0,0
33,815,3,5,1,76,0,1,0,0,0
22,636,1,4,0,74,1,0,0,0,0
28,785,10,10,0,72,0,0,0,0,0
28,837,8,9,1,87,0,0,0,1,0
44,803,13,13,1,80,0,0,0,0,0
44,615,3,4,0,80,0,0,0,0,0
39,562,13,15,1,65,0,0,0,0,0
31,544,12,11,1,87,0,0,0,0,0
37,701,2,2,1,87,0,0,0,1,0
39,808,13,10,1,71,0,0,0,0,0
37,628,12,14,1,89,0,0,0,0,1
32,743,2,2,1,85,0,0,0,0,0
42,705,2,4,1,73,0,0,0,0,0
42,780,2,3,1,90,0,1,0,1,0
42,596,13,12,1,74,0,0,0,0,0
31,721,12,14,1,76,0,0,0,0,0
31,647,12,11,0,65,0,0,0,0,0
32,654,12,15,1,55,0,1,1,0,0
22,828,2,3,1,59,0,0,0,0,0
44,603,14,13,1,84,1,0,0,1,1
42,774,2,5,1,74,0,0,1,0,0
42,787,4,3,1,77,0,1,0,0,0
24,839,1,4,1,68,0,0,0,0,0
40,612,4,5,1,80,1,0,0,0,0
29,653,7,10,1,88,1,1,0,1,1
42,587,11,14,1,77,0,1,1,0,0
37,684,3,6,0,74,0,1,0,0,0
35,823,4,6,1,62,0,0,0,0,0
26,872,6,9,1,74,1,0,1,0,0
30,613,3,5,0,76,0,1,0,0,0
34,909,4,4,1,78,0,0,0,0,0
26,706,7,10,1,63,0,0,0,0,0
27,789,7,7,1,69,0,0,0,0,0
38,721,13,10,1,82,0,0,0,1,0
22,784,2,6,1,71,0,0,0,0,0
38,750,3,5,1,84,0,0,0,0,0
40,767,4,5,1,79,0,0,0,0,0
43,890,13,11,1,81,0,1,1,0,0
45,721,3,4,1,53,1,0,0,0,0
40,687,13,13,1,66,0,0,0,0,0
41,745,2,3,0,65,0,0,0,0,0
38,847,11,15,0,76,0,0,0,0,0
44,621,3,5,1,69,1,1,0,0,0
27,797,7,8,1,61,1,0,0,0,0
25,723,2,5,1,76,0,0,0,0,0
30,733,11,11,1,71,0,0,0,0,0
43,603,14,14,1,60,0,0,0,0,0
28,730,2,4,0,89,1,0,0,0,0
35,729,2,3,0,75,0,0,0,0,0
33,500,2,4,1,71,0,1,0,0,0
31,758,11,13,1,76,0,1,0,0,0
26,744,3,4,1,70,0,1,0,0,0
37,674,2,4,1,74,1,0,0,0,0
43,564,3,4,1,76,0,0,1,0,0
24,692,3,3,1,66,0,0,0,0,0
41,728,4,5,1,83,0,0,0,1,0
25,778,3,6,1,75,0,0,1,0,0
43,614,11,12,1,82,0,0,0,0,0
43,721,2,3,1,70,1,0,1,0,0
44,659,13,15,0,71,1,0,0,0,0
27,777,6,11,1,52,0,0,0,0,0
27,689,2,5,1,62,0,0,0,0,0
37,817,12,13,1,76,1,1,0,0,1
35,602,13,15,1,84,0,0,0,1,1
37,744,13,12,1,66,1,1,0,0,0
34,798,3,4,0,69,1,0,0,0,0
29,350,9,11,1,71,0,0,0,0,0
42,681,4,4,1,71,1,0,0,0,0
27,589,2,3,1,79,0,0,0,0,0
43,740,2,3,1,70,0,0,1,0,0
23,740,3,6,1,75,0,0,0,0,0
26,829,8,8,1,71,1,1,0,0,0
38,739,12,13,1,65,0,0,0,0,0
34,641,2,3,1,56,0,1,1,0,0
27,706,3,5,0,72,1,0,0,0,0
27,523,8,7,1,70,1,0,0,0,0
32,557,13,11,1,68,1,0,0,0,0
26,800,2,5,1,76,0,0,0,0,0
26,605,8,10,0,72,0,0,0,0,0
35,892,4,4,1,67,0,1,0,0,0
23,664,2,3,1,75,1,0,0,0,0
30,849,11,12,1,70,1,1,1,0,1
45,661,2,2,0,87,0,1,0,0,0
28,628,9,10,1,51,1,0,0,0,0
35,712,11,15,1,87,0,0,1,0,1
32,712,13,14,1,87,0,0,0,0,1
32,734,3,6,0,67,0,0,1,0,0
26,736,10,11,1,89,0,0,1,0,0
28,728,6,9,0,92,0,0,1,0,0
45,790,4,4,1,84,0,0,0,1,0
33,865,14,12,1,68,0,0,0,0,0
31,722,12,15,0,76,1,0,0,0,0
22,808,5,2,1,79,0,0,0,0,0
41,800,11,14,0,87,1,0,1,1,1
37,700,13,13,1,65,1,0,0,0,0
42,665,13,11,1,83,0,0,0,1,0
33,882,4,3,1,77,1,0,0,0,0
34,778,11,15,1,74,0,1,1,0,1
33,816,11,14,1,86,0,0,0,0,1
26,773,6,7,1,71,0,1,1,0,0
25,657,9,8,0,87,0,0,1,1,0
